"max_cluster","Count","Mean_Membership","Mean_Vision_Improvement","Mean_Pre_Vision","Mean_Age","Positive_BF_Improvements","Positive_TH_Improvements","Outcome_Quality"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,10,5,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,11,0,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,11,5,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,9,4,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,12,3,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,4,0,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,6,0,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,8,2,"Better"
1,9,0.685236565022375,0.117777777777778,0.328888888888889,60.2222222222222,8,0,"Better"
2,6,0.702830277051029,0.03,0.57,54.1666666666667,2,0,"Worse"
2,6,0.702830277051029,0.03,0.57,54.1666666666667,3,0,"Worse"
2,6,0.702830277051029,0.03,0.57,54.1666666666667,7,4,"Worse"
2,6,0.702830277051029,0.03,0.57,54.1666666666667,6,7,"Worse"
2,6,0.702830277051029,0.03,0.57,54.1666666666667,1,8,"Worse"
2,6,0.702830277051029,0.03,0.57,54.1666666666667,2,8,"Worse"
